Source Type,Risk Type,Risk Greek,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Market Date,Open,Current,Move,Market Status,Market Data Status
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,0,2,2026-08-13,0.121253,0.118133,-0.00312,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1Y,0,3,2026-08-13,0.157001,0.145431,-0.01157,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,1,0,2026-08-13,0.194786,0.200696,0.00591,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,1,1,2026-08-13,0.215513,0.225503,0.00999,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,1,2,2026-08-13,0.346622,0.337962,-0.00866,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,1,3,2026-08-13,0.267731,0.267161,-0.00057,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,2,0,2026-08-13,0.149918,0.151778,0.00186,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,2,1,2026-08-13,0.306419,0.298379,-0.00804,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,2,2,2026-08-13,0.259883,0.253303,-0.00658,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,2,3,2026-08-13,0.065726,0.062686,-0.00304,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,3,0,2026-08-13,0.178529,0.185479,0.00695,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,3,1,2026-08-13,0.158666,0.155656,-0.00301,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,3,2,2026-08-13,0.306791,0.309741,0.00295,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,3,3,2026-08-13,0.320711,0.319551,-0.00116,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1M,4,0,2026-08-13,0.224162,0.216582,-0.00758,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,4,1,2026-08-13,0.322265,0.332675,0.01041,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,4,2,2026-08-13,0.272147,0.268037,-0.00411,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,4,3,2026-08-13,0.313223,0.300673,-0.01255,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,0,0,2026-08-13,0.295604,0.290554,-0.00505,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,0,1,2026-08-13,0.17036,0.15934,-0.01102,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,0,2,2026-08-13,0.2144,0.22082,0.00642,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1Y,0,3,2026-08-13,0.23987,0.23081,-0.00906,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,1,0,2026-08-13,0.055268,0.067208,0.01194,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,1,1,2026-08-13,0.31376,0.32321,0.00945,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,1,2,2026-08-13,0.232406,0.237736,0.00533,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,1,3,2026-08-13,0.312095,0.315005,0.00291,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,2,0,2026-08-13,0.197009,0.190479,-0.00653,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,2,1,2026-08-13,0.257453,0.255373,-0.00208,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,2,2,2026-08-13,0.332483,0.322383,-0.0101,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1Y,2,3,2026-08-13,0.133121,0.137051,0.00393,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,3,0,2026-08-13,0.076667,0.085067,0.0084,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,3,1,2026-08-13,0.273605,0.263515,-0.01009,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,3,2,2026-08-13,0.346106,0.345446,-0.00066,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,3,3,2026-08-13,0.264833,0.256763,-0.00807,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1M,4,0,2026-08-13,0.200678,0.195528,-0.00515,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,4,1,2026-08-13,0.118979,0.127309,0.00833,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,4,2,2026-08-13,0.31475,0.31265,-0.0021,OFFICIAL,Available
ir/deltavega,IR,DeltaVega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,4,3,2026-08-13,0.075032,0.085972,0.01094,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.022839,0.023339,0.0005,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.012364,0.011304,-0.00106,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.009657,0.009417,-0.00024,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.031599,0.031039,-0.00056,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.014104,0.015174,0.00107,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.066031,0.066171,0.00014,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.054199,0.053709,-0.00049,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.038842,0.040052,0.00121,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 1Y,N/A,0,,2026-08-13,0.034536,0.033666,-0.00087,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 2Y,N/A,1,,2026-08-13,0.019671,0.020561,0.00089,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 5Y,N/A,2,,2026-08-13,0.031723,0.030622,-0.001101,OFFICIAL,Available
ir/xccy,IR,XCCY,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 10Y,N/A,3,,2026-08-13,0.076638,0.075828,-0.00081,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,0,0,2026-08-13,0.343121,0.338981,-0.00414,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,0,1,2026-08-13,0.16475,0.17158,0.00683,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,0,2,2026-08-13,0.139112,0.133462,-0.00565,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 2Y,0,3,2026-08-13,0.213074,0.219434,0.00636,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 3M,1,0,2026-08-13,0.113303,0.106293,-0.00701,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 6M,1,1,2026-08-13,0.193211,0.193621,0.00041,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 1Y,1,2,2026-08-13,0.068477,0.080467,0.01199,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 2Y,1,3,2026-08-13,0.233771,0.242211,0.00844,OFFICIAL,Available
ir/xccyvega,IR,XCCYVega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,2,0,2026-08-13,0.076469,0.078839,0.00237,OFFICIAL,Available
